"time_utc","type","latitude","longitude","peak_current","ic_height"
"2020-08-29T07:14:03.084625420","0","41.94697","-109.55077","-9566.0","0.0"
"2020-08-29T07:15:30.594701010","0","41.33724","-112.72737","-33774.0","0.0"
"2020-08-29T07:15:46.204063498","0","41.07954","-112.79024","30582.0","0.0"
"2020-08-29T07:17:13.584551928","0","41.97121","-109.51992","-17617.0","0.0"
"2020-08-29T07:17:56.338033906","0","41.32213","-112.6787","-20424.0","0.0"
"2020-08-29T07:20:30.411891547","0","41.73522","-109.21383","-41435.0","0.0"
"2020-08-29T07:21:47.868141490","0","41.71129","-109.24374","-22452.0","0.0"
"2020-08-29T07:23:04.539771939","0","42.02702","-109.43188","-18622.0","0.0"
"2020-08-29T07:23:21.632398536","0","42.06928","-109.44978","-37929.0","0.0"
"2020-08-29T07:25:27.537048922","0","42.03864","-109.50847","-11776.0","0.0"
"2020-08-29T07:27:33.596547822","0","41.71092","-109.16167","53670.0","0.0"
"2020-08-29T07:32:51.038674446","0","42.04647","-109.45801","-11566.0","0.0"
"2020-08-29T07:39:00.769706818","0","43.30178","-113.59884","41367.0","0.0"
"2020-08-29T07:48:57.216862291","0","41.18756","-112.47363","-23455.0","0.0"
"2020-08-29T07:49:08.544223474","0","35.02774","-115.01859","-29261.0","0.0"
"2020-08-29T07:55:06.350467302","0","40.99116","-112.54909","-32534.0","0.0"
"2020-08-29T07:59:21.910762664","0","41.05269","-112.39318","-3643.0","0.0"
"2020-08-29T08:00:05.739412080","0","41.22267","-111.74481","-23762.0","0.0"
"2020-08-29T08:03:18.378918429","0","40.94174","-112.43638","-42143.0","0.0"
"2020-08-29T08:05:44.072736709","0","41.00785","-112.4334","-76614.0","0.0"
"2020-08-29T08:08:13.321354472","0","41.07743","-112.51321","-50547.0","0.0"
"2020-08-29T08:11:10.233136213","0","35.09987","-114.99654","-22559.0","0.0"
"2020-08-29T08:12:21.239562078","0","41.30413","-111.64833","-66232.0","0.0"
"2020-08-29T08:13:45.236558985","0","35.2385","-115.02459","-9912.0","0.0"
"2020-08-29T08:14:18.405897662","0","41.36106","-111.70592","-50406.0","0.0"
"2020-08-29T08:22:32.800088208","0","41.09137","-112.31153","-6997.0","0.0"
"2020-08-29T08:22:48.664025298","0","41.14345","-112.21582","-14203.0","0.0"
"2020-08-29T08:36:01.731003743","0","35.59151","-114.95834","-19434.0","0.0"
"2020-08-29T08:37:12.455864791","0","37.27287","-108.90859","-15229.0","0.0"
"2020-08-29T08:38:50.461861153","0","41.13842","-112.08609","-16510.0","0.0"
"2020-08-29T08:40:55.786224111","0","41.2035","-111.91831","-23423.0","0.0"
"2020-08-29T08:42:58.671376284","0","41.1759","-111.90948","-16475.0","0.0"
"2020-08-29T08:44:54.609970775","0","41.19816","-112.05394","-10937.0","0.0"
"2020-08-29T08:45:38.077506829","0","35.86961","-114.93087","-12528.0","0.0"
"2020-08-29T08:56:00.870461348","0","41.21344","-111.8095","-40836.0","0.0"
"2020-08-29T08:56:26.213771210","0","41.24783","-111.87077","-26821.0","0.0"
"2020-08-29T08:56:27.348511853","0","39.29756","-108.09288","-40411.0","0.0"
"2020-08-29T08:59:07.263189737","0","41.26975","-111.78783","-9831.0","0.0"
"2020-08-29T09:02:58.223487669","0","41.17573","-111.73762","-8885.0","0.0"
"2020-08-29T09:05:18.845914821","0","41.25282","-111.73321","-24357.0","0.0"
"2020-08-29T09:06:01.254858313","0","41.2738","-111.75772","-40993.0","0.0"
"2020-08-29T09:07:18.312908443","0","41.24951","-111.68016","-32021.0","0.0"
"2020-08-29T09:07:35.447869922","0","41.26239","-111.68571","-24667.0","0.0"
"2020-08-29T09:08:09.893293557","0","41.24304","-111.66233","-34144.0","0.0"
"2020-08-29T09:08:20.982630185","0","41.2806","-111.72575","-10140.0","0.0"
"2020-08-29T09:09:34.047237938","0","41.32322","-111.75467","-16444.0","0.0"
"2020-08-29T09:09:40.098794863","0","41.20384","-111.65444","-17679.0","0.0"
"2020-08-29T09:10:44.216751369","0","41.27394","-111.6945","-13873.0","0.0"
"2020-08-29T09:10:54.012574158","0","41.26873","-111.66294","-28128.0","0.0"
"2020-08-29T09:24:00.542765687","0","41.27219","-111.51022","-18466.0","0.0"
"2020-08-29T09:34:07.786704088","0","36.08684","-114.80921","-22274.0","0.0"
"2020-08-29T09:35:28.332604006","0","36.08125","-114.82568","-25319.0","0.0"
"2020-08-29T09:36:57.448500806","0","36.10252","-114.77729","-24357.0","0.0"
"2020-08-29T09:38:15.417260272","0","41.40901","-111.33568","-65157.0","0.0"
"2020-08-29T09:39:11.658241598","0","36.13478","-114.80469","-28345.0","0.0"
"2020-08-29T09:40:13.153912399","0","36.15184","-114.79237","-31231.0","0.0"
"2020-08-29T09:41:36.209780650","0","36.18582","-114.78785","-25431.0","0.0"
"2020-08-29T09:42:33.893699387","0","36.18119","-114.77354","-18930.0","0.0"
"2020-08-29T09:44:40.528029483","0","36.19518","-114.75623","-35357.0","0.0"
"2020-08-29T09:54:47.486909222","0","41.45971","-111.1769","-16798.0","0.0"
"2020-08-29T09:57:48.944296938","0","41.52286","-111.05175","-30041.0","0.0"
"2020-08-29T10:09:49.432634748","0","41.49261","-110.38289","-31963.0","0.0"
"2020-08-29T10:10:43.248661560","0","42.06567","-114.23614","-8600.0","0.0"
"2020-08-29T10:11:46.788083368","0","41.52556","-110.37574","-25647.0","0.0"
"2020-08-29T10:19:42.204354493","0","41.51246","-110.31188","-15802.0","0.0"
"2020-08-29T10:23:20.958941775","0","41.55968","-110.3164","-35086.0","0.0"
"2020-08-29T10:23:29.554320324","0","35.01879","-114.75297","-18127.0","0.0"
"2020-08-29T10:24:21.839341793","0","42.09475","-114.15274","-92278.0","0.0"
"2020-08-29T10:24:22.034420179","0","42.0919","-114.16118","-4253.0","0.0"
"2020-08-29T10:25:23.210984883","0","41.56065","-110.31443","-27837.0","0.0"
"2020-08-29T10:36:10.065690790","0","35.29462","-114.82921","-16488.0","0.0"
"2020-08-29T10:37:28.514313023","0","35.32333","-114.81922","-9360.0","0.0"
"2020-08-29T10:39:24.914471990","0","35.09892","-114.69359","-13988.0","0.0"
"2020-08-29T10:41:06.989693403","0","41.6105","-111.47558","37344.0","0.0"
"2020-08-29T10:43:32.352850784","0","35.2615399","-114.79138","-23691.0","0.0"
"2020-08-29T10:47:20.133148364","0","35.36493","-114.79828","-29113.0","0.0"
"2020-08-29T10:49:38.429879460","0","35.28248","-114.80122","-25418.0","0.0"
"2020-08-29T10:49:58.929933698","0","35.63134","-114.84843","-27540.0","0.0"
"2020-08-29T10:57:44.678820416","0","35.67696","-114.86442","-9429.0","0.0"
"2020-08-29T12:11:13.098028286","0","41.35767","-109.18474","-7255.0","0.0"
"2020-08-29T12:12:47.734034337","0","41.37553","-109.14864","-16854.0","0.0"
"2020-08-29T12:16:03.453822620","0","41.35931","-109.12614","-20408.0","0.0"
"2020-08-29T12:16:03.461651195","0","41.36447","-109.12991","-10792.0","0.0"
"2020-08-29T12:18:50.954687495","0","41.40546","-109.10982","-33227.0","0.0"
"2020-08-29T12:20:14.073316161","0","41.38824","-109.08992","-31554.0","0.0"
"2020-08-29T12:21:13.983259351","0","42.64218","-106.9799","-31890.0","0.0"
"2020-08-29T12:21:25.513379792","0","41.40463","-109.06026","-28933.0","0.0"
"2020-08-29T12:26:36.965334919","0","41.40719","-109.06156","-110536.0","0.0"
"2020-08-29T12:33:44.838204982","0","41.47292","-108.9341","-8222.0","0.0"
"2020-08-29T12:34:07.379283336","0","42.65426","-106.8443099","-39718.0","0.0"
"2020-08-29T12:35:11.788069921","0","41.4769099","-108.92605","-35205.0","0.0"
"2020-08-29T12:40:31.955659185","0","42.68703","-106.79223","-36824.0","0.0"
"2020-08-29T12:42:11.472177890","0","41.51586","-110.86155","-55706.0","0.0"
"2020-08-29T12:45:21.707340055","0","42.71019","-106.75227","-11812.0","0.0"
"2020-08-29T12:47:48.421220253","0","42.69817","-106.72581","-24599.0","0.0"
"2020-08-29T12:47:57.138179562","0","41.53234","-110.81013","-34589.0","0.0"
"2020-08-29T12:49:22.566395794","0","42.70781","-106.70487","-20547.0","0.0"
"2020-08-29T12:50:37.957806958","0","42.68714","-106.70264","-17313.0","0.0"
"2020-08-29T12:51:24.333925258","0","42.71642","-106.68049","-20902.0","0.0"
"2020-08-29T12:52:30.912139610","0","42.69722","-106.66735","-36424.0","0.0"
"2020-08-29T12:53:26.786070244","0","42.7027","-106.6842099","-32596.0","0.0"
"2020-08-29T12:54:34.052525283","0","42.70043","-106.66448","-18526.0","0.0"
"2020-08-29T12:55:22.436822109","0","42.70472","-106.66471","-15304.0","0.0"
"2020-08-29T12:56:01.929172204","0","42.98137","-106.6049","-3731.0","0.0"
"2020-08-29T12:56:12.135663724","0","41.59566","-108.62813","-13236.0","0.0"
"2020-08-29T12:57:46.698611396","0","42.70995","-106.63454","-32727.0","0.0"
"2020-08-29T12:58:49.713348786","0","41.55935","-110.66382","-44277.0","0.0"
"2020-08-29T12:58:55.249078207","0","42.72188","-106.61363","-32658.0","0.0"
"2020-08-29T12:59:39.774679902","0","42.7132099","-106.5992799","-28245.0","0.0"
"2020-08-29T13:07:13.097977307","0","42.65612","-106.5601","-44402.0","0.0"
"2020-08-29T13:08:14.765644333","0","42.66288","-106.56761","-27985.0","0.0"
"2020-08-29T13:08:41.192587357","0","42.65629","-106.55296","-28084.0","0.0"
"2020-08-29T13:09:56.418213785","0","43.0254","-111.95351","-13207.0","0.0"
"2020-08-29T13:10:09.503400544","0","42.6684399","-106.5193","-33193.0","0.0"
"2020-08-29T13:11:09.678070464","0","42.67005","-106.50494","-18029.0","0.0"
"2020-08-29T13:11:45.052959981","0","42.65479","-106.53559","-26799.0","0.0"
"2020-08-29T13:12:23.638317416","0","42.6776","-106.52123","-33384.0","0.0"
"2020-08-29T13:13:20.837472957","0","42.6689099","-106.51473","-51318.0","0.0"
"2020-08-29T13:13:45.285914777","0","42.7610699","-106.4552","-35432.0","0.0"
"2020-08-29T13:14:58.814233749","0","42.68732","-106.4909799","-55794.0","0.0"
"2020-08-29T13:15:07.107752104","0","43.15256","-111.82564","-10012.0","0.0"
"2020-08-29T13:16:24.243369416","0","42.6932","-106.47296","-48569.0","0.0"
"2020-08-29T13:19:29.325838681","0","42.69254","-106.44716","-47507.0","0.0"
"2020-08-29T13:20:42.544722995","0","42.68425","-106.45108","-40649.0","0.0"
"2020-08-29T13:22:14.985945781","0","42.69852","-106.43626","-42491.0","0.0"
"2020-08-29T13:22:15.002018790","0","42.694","-106.44154","-9755.0","0.0"
"2020-08-29T13:55:15.593650337","0","43.46487","-110.39588","27487.0","0.0"
"2020-08-29T14:02:20.316066848","0","41.62679","-110.90699","33923.0","0.0"
"2020-08-29T14:04:43.429351894","0","34.19294","-112.81497","-33509.0","0.0"
"2020-08-29T14:05:15.322124488","0","41.61511","-110.85637","-76985.0","0.0"
"2020-08-29T14:43:53.471878646","0","35.87965","-114.2383","-34306.0","0.0"
"2020-08-29T14:52:02.738800946","0","35.98709","-114.20466","22024.0","0.0"
"2020-08-29T15:16:15.793758759","0","36.42793","-107.43984","166832.0","0.0"
"2020-08-29T15:18:25.875711233","0","34.4268","-113.58129","-28366.0","0.0"
"2020-08-29T15:19:59.311562506","0","34.43769","-113.61172","-13085.0","0.0"
"2020-08-29T15:27:47.029912717","0","36.47074","-107.36142","53878.0","0.0"
"2020-08-29T15:29:49.685999136","0","37.52388","-107.09215","-23736.0","0.0"
"2020-08-29T15:30:07.328583994","0","35.54275","-113.3115","-23218.0","0.0"
"2020-08-29T15:32:37.590932497","0","34.59575","-113.51094","37171.0","0.0"
"2020-08-29T15:34:15.111555411","0","37.52372","-107.08798","112986.0","0.0"
"2020-08-29T15:34:49.401865571","0","34.67338","-113.42813","-19421.0","0.0"
"2020-08-29T15:37:49.713145475","0","37.52778","-107.06787","121991.0","0.0"
"2020-08-29T15:39:53.639466496","0","34.60571","-113.46169","-24383.0","0.0"
"2020-08-29T15:40:04.785800132","0","37.51071","-107.09587","-41979.0","0.0"
